variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.18526228164418398,0.04475818626064657,0.8308863290380916,3.485462727438055e-05,0.7611016721337723,0.9070694718708422
intersection_degree,0.17945669714129978,0.05054759120708724,1.1965670881700563,0.0003848622575424857,1.0837024994795523,1.3211862085575843
dist_to_coast_m,0.13706439928013642,0.047654882879674496,1.1469020058057555,0.0040250997839247305,1.044627987105814,1.2591891344645985
log_incident_count_500m,-0.23478182125665517,0.5066598002591703,0.7907433542009638,0.6430838035820219,0.29292606790786546,2.1345831618156277
log_severe_incident_500m,0.25458852204127763,0.5042848112198177,1.2899307335910217,0.6136637277740482,0.48007655032617313,3.4659499538816703
work_density,-0.1251574257290585,0.06368693768997905,0.882357985801139,0.049391355966982894,0.7788133813651855,0.9996690269269762
education_density,0.002728006902050354,0.06216545192545661,1.0027317312988357,0.9649976614697936,0.8877045734741552,1.132663900804871
retail_density,0.04327945805750078,0.1281068048229595,1.0442296724747642,0.7354846169722418,0.8123614686846228,1.3422788388060258
food_drink_density,0.0409284091206195,0.11664668638269343,1.0417775211068738,0.7256821081402547,0.828864078071993,1.30938284357561
recreation_density,0.09073201560717804,0.06375650457529956,1.094975529584321,0.15470655943215267,0.9663485100732978,1.2407236083983013
medical_density,-0.013026660219999603,0.08759704693763846,0.9870578194908803,0.881781538926189,0.8313396258791748,1.1719435820080728
transport_density,0.09365358744412437,0.08372417203475875,1.098179256934694,0.2633122069817878,0.9319782609365078,1.2940191106494021
tourism_density,0.056700781258501774,0.0661301036605751,1.0583390881232166,0.39121692212192216,0.9296805728237109,1.2048026582371916
finance_density,-0.04264668793879501,0.09756476482695486,0.9582498915095069,0.6620304338251596,0.7914618289819834,1.1601859002588544
civic_density,-0.10543342192110548,0.06134147675576883,0.899934386754886,0.08565171110310368,0.7979872043081815,1.0149058732915692
road_highway,0.03248735138610474,0.047313298326202666,1.0330208267797534,0.49230764069588273,0.941532216376084,1.1333993781626182
road_local,-0.06693977593520772,0.046972396121894,0.9352515242891568,0.15413190102530214,0.852991520502503,1.025444441897737
