variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.5829543873090615,0.04994041903268528,0.5582466510419506,1.7514145963115212e-31,0.5061928232778689,0.6156533816135958
intersection_degree,0.0718988731129848,0.051788529273910484,1.0745466730091295,0.1650406699738215,0.9708273389534718,1.1893469684523659
dist_to_coast_m,0.06445441470547154,0.05032864031415946,1.0665769569117303,0.2003093576106404,0.9663881437859269,1.1771526920420123
log_incident_count_500m,0.4649215389824868,0.5047332949843525,1.5918892827341415,0.35698611810599556,0.591936614941023,4.281052100039974
log_severe_incident_500m,-0.29766935434995523,0.5014468786567837,0.7425468190378777,0.5527656897731383,0.27789686133631974,1.9841022162390594
work_density,0.10686136844409093,0.07511501733787604,1.1127799773660878,0.15484154540026562,0.9604397124936881,1.2892837123652452
education_density,-0.1054646571775386,0.06447462309405784,0.8999062775125448,0.10189097063744126,0.7930770348934619,1.021125656999101
retail_density,0.24116688009013745,0.1503245165980555,1.2727334114534854,0.10864609721336499,0.9479351630795496,1.7088197586928116
food_drink_density,-0.2467902097823145,0.1354701425598838,0.7813045863984744,0.0684957540938188,0.5991090229288649,1.0189078003583518
recreation_density,0.25371159394139475,0.06609645694255543,1.288800052919118,0.0001237855915108303,1.1321998819269028,1.467060368861228
medical_density,0.14111509793324217,0.09668470561619175,1.1515571822090727,0.1444168163791337,0.9527650670540487,1.3918267889455196
transport_density,0.21886281547425174,0.09007184391198776,1.2446605168122762,0.01510426519781533,1.0432303463120303,1.4849834531635093
tourism_density,-0.9277705939835283,0.24463087935372094,0.3954343120319103,0.00014911864478877327,0.24481630687358616,0.6387168286665352
finance_density,-0.09417600556617627,0.10235816434095674,0.9101225615063423,0.3575396042566126,0.744681992322508,1.1123178558131892
civic_density,0.08255570751605838,0.06279945860634326,1.0860591734127325,0.18864683730759713,0.9602791732258444,1.2283141830428306
road_highway,-0.07701421235641595,0.05090448466578425,0.9258766946234043,0.13030098203489338,0.8379582486946244,1.0230195298896878
road_local,-0.07922415428031353,0.049188314944604454,0.9238328201533658,0.10726048599352088,0.8389256015701787,1.017333453640139
